time,open,high,low,close,volume
2026-02-09T00:00:00+00:00,122.59,125.03,117.21,117.24,74754
2026-02-12T00:00:00+00:00,117.24,118.97,108.26,110.69,122993
2026-02-15T00:00:00+00:00,110.69,114.31,110.69,113.73,26865
2026-02-18T00:00:00+00:00,113.73,116.89,113.71,115.88,124671
2026-02-21T00:00:00+00:00,115.88,116.76,108.71,110.66,25140
2026-02-24T00:00:00+00:00,110.66,116.84,107.34,116.11,77296
2026-02-27T00:00:00+00:00,116.11,116.11,108.51,110.03,39575
2026-03-02T00:00:00+00:00,110.03,112.25,106.04,111.13,102183
2026-03-05T00:00:00+00:00,111.13,111.47,102.97,106.43,93103
2026-03-08T00:00:00+00:00,106.43,110.78,101.9,108.79,80328
2026-03-11T00:00:00+00:00,108.79,109.32,104.48,105.57,104392
2026-03-14T00:00:00+00:00,105.57,108.56,105.57,107.21,34611
2026-03-17T00:00:00+00:00,107.21,110.44,106.24,109.79,108461
2026-03-20T00:00:00+00:00,109.79,111.1,108.69,109.45,45192
2026-03-23T00:00:00+00:00,109.45,115.98,109.28,114.39,107789
2026-03-26T00:00:00+00:00,114.39,114.65,106.83,107.22,70720
2026-03-29T00:00:00+00:00,107.22,113.64,106.4,113.31,72764
2026-04-01T00:00:00+00:00,113.31,116.47,111.32,115.15,43862
2026-04-04T00:00:00+00:00,115.15,117.53,115.15,117.21,15269
2026-04-07T00:00:00+00:00,117.21,125.37,115.62,124.81,69021
2026-04-10T00:00:00+00:00,124.81,125.34,123.4,124.26,20111
2026-04-13T00:00:00+00:00,124.26,132.53,122.03,131.58,59847
2026-04-16T00:00:00+00:00,131.58,133.45,129.09,132.1,48605
2026-04-19T00:00:00+00:00,132.1,135.16,130.79,131.56,61675
2026-04-22T00:00:00+00:00,131.56,132.17,126.68,127.85,89653
2026-04-25T00:00:00+00:00,127.85,129.29,126.88,129.03,17703
2026-04-28T00:00:00+00:00,129.03,131.17,126.28,127.8,75868
2026-05-01T00:00:00+00:00,127.8,130.36,126.69,127.32,30354
2026-05-04T00:00:00+00:00,127.32,131.36,124.47,127.45,65363
2026-05-07T00:00:00+00:00,127.45,131.81,125.08,125.51,68291
2026-05-10T00:00:00+00:00,125.51,127.98,123.11,126.43,41735
2026-05-13T00:00:00+00:00,126.43,126.43,122.58,123.26,58074
2026-05-16T00:00:00+00:00,123.26,124.29,121.67,122.19,26763
2026-05-19T00:00:00+00:00,122.19,125.31,119.62,125.05,72049
2026-05-22T00:00:00+00:00,125.05,126.22,124.74,124.98,17296
2026-05-25T00:00:00+00:00,124.98,127.47,124.33,125.29,52470
2026-05-28T00:00:00+00:00,125.29,126.74,123.11,125.78,42952
2026-05-31T00:00:00+00:00,125.78,132.34,123.39,131.25,50057
2026-06-03T00:00:00+00:00,131.25,135.55,128.13,132.27,79459
2026-06-06T00:00:00+00:00,132.27,134.76,132.27,133.12,31355
2026-06-09T00:00:00+00:00,133.12,138.1,131.74,137.9,137172
2026-06-12T00:00:00+00:00,137.9,140.99,137.9,139.64,43238
2026-06-15T00:00:00+00:00,139.64,146.43,139.64,143.69,87460
2026-06-18T00:00:00+00:00,143.69,147.72,142.88,142.97,30363
2026-06-21T00:00:00+00:00,142.97,146.21,142.97,145.06,60942
2026-06-24T00:00:00+00:00,145.06,147.65,140.55,141.47,114664
2026-06-27T00:00:00+00:00,141.47,143.7,141.19,142.44,23197
2026-06-30T00:00:00+00:00,142.44,142.44,137.96,139.78,74461
2026-07-06T00:00:00+00:00,139.78,144.31,137.01,137.33,63653
2026-07-09T00:00:00+00:00,137.33,141.32,137.33,140.57,35508
2026-07-12T00:00:00+00:00,140.57,144.04,131.92,133.06,56182
2026-07-15T00:00:00+00:00,133.06,135,126.89,129.29,80255
2026-07-18T00:00:00+00:00,129.29,131.11,128.22,128.67,22130
2026-07-21T00:00:00+00:00,128.67,133.7,128.67,131.73,75407
2026-07-24T00:00:00+00:00,131.73,133.15,131.13,132.05,23414
2026-07-27T00:00:00+00:00,132.05,135.16,126.63,127.06,69079
2026-07-30T00:00:00+00:00,127.06,135,127.06,132.46,49460
2026-08-02T00:00:00+00:00,132.46,137.91,130.56,136.79,50690
2026-08-05T00:00:00+00:00,136.79,139.06,132.28,134.68,80307
2026-08-08T00:00:00+00:00,134.87,135.98,133.94,135.15,13444
2026-08-11T00:00:00+00:00,135.15,138.94,135.1,138.67,61705
2026-08-14T00:00:00+00:00,138.67,140.14,137.89,139.16,17484
2026-08-17T00:00:00+00:00,139.16,140.75,132.21,132.81,48465
2026-08-20T00:00:00+00:00,132.81,132.92,129.46,131.59,28334
2026-08-23T00:00:00+00:00,131.59,133.14,130.88,133.04,24338
2026-08-26T00:00:00+00:00,133.09,133.79,131.64,132.71,29486
2026-08-29T00:00:00+00:00,132.71,132.71,131.2,131.54,11139
2026-09-01T00:00:00+00:00,131.54,134.47,129.91,132.41,16438
